,source,target,content
11,jennellenn,BTS_twt,non tweet
16,labkivecord,BTS_twt,non tweet
23,TheAlexRestrepo,carlyraejepsen,non tweet
40,iambigBrad,TreySongz,non tweet
41,iambigBrad,MeekMill,non tweet
48,serendipitybtss,BTS_twt,non tweet
194,micaelakz,BTS_twt,non tweet
210,mochiii90,BTS_twt,non tweet
211,mochiii90,BTS_twt,non tweet
229,chaospluto,YouTube,non tweet
236,AZIndivisible1,WhiteHouse,non tweet
325,CaliLiliIndies,nytimes,non tweet
340,Julianyc422Shaw,CBSNews,non tweet
395,RizaKatsudon,DalaiLama,non tweet
398,BluebonnetsTx8,POTUS,non tweet
460,jenniferclmn,CNN,non tweet
475,BTSxSasha,BTS_twt,non tweet
476,ZenYinger,Twitter,non tweet
531,Dr_ACornelius,cnn,non tweet
533,Dr_ACornelius,JoeBiden,non tweet
534,Dr_ACornelius,BarackObama,non tweet
536,Dr_ACornelius,Reuters,non tweet
539,Dr_ACornelius,SpeakerPelosi,non tweet
560,RufusHenderso11,Oprah,non tweet
561,RufusHenderso11,tylerperry,non tweet
575,BTSGlobalNoona_,BTS_twt,non tweet
585,Meredit05881052,BarackObama,non tweet
595,zeljkahiter,BTS_twt,non tweet
607,Prissy_girl64,AustinMahone,non tweet
621,FannibalFest,gmail,non tweet
674,moontasir190,YouTube,non tweet
681,bgirlmama,BTS_twt,non tweet
732,LSurzWalis,rihanna,non tweet
735,Hideesoo,BTS_twt,non tweet
765,heythatsKAYCEE,BTS_twt,non tweet
771,winterlyblooms,BTS_twt,non tweet
777,brinckman_john,nytimes,non tweet
779,brinckman_john,JoeBiden,non tweet
795,TheMarcShawn,TEDTalks,non tweet
805,micktissue,JoeBiden,non tweet
811,hairuchii,BTS_twt,non tweet
845,IttyPettyBetty,BTS_twt,non tweet
855,fatehyab_kz,PMOIndia,non tweet
875,StageYaneu,WhiteHouse,non tweet
876,StageYaneu,POTUS,non tweet
955,onlyBTS1030,BTS_twt,non tweet
989,V714301,BTS_twt,non tweet
992,Harry_MCFC891,BBCSport,non tweet
1018,52hertzfreq,BTS_twt,non tweet
1079,Lamourna5,GaryLineker,non tweet
1181,onlygooDTphotos,JeffreeStar,non tweet
1201,MzLiliana,BTS_twt,non tweet
1203,MzLiliana,bts_bighit,non tweet
1223,SSteyer41,twitter,non tweet
1243,PrettyPapaya,BTS_twt,non tweet
1266,thisniggacappin,YouTube,non tweet
1269,ChrisTheFlyest,KamalaHarris,non tweet
1290,Dany_eternalBTS,BTS_twt,non tweet
1310,BetterRwanda,JoeBiden,non tweet
1364,notasparrow,POTUS,non tweet
1366,notasparrow,IvankaTrump,non tweet
1393,myprincessfive,KingJames,non tweet
1396,WarrenBivins,WWE,non tweet
1403,tabarimccoy,WWE,non tweet
1469,MusicReviewer7,wwe,non tweet
1485,SheaKel53138578,NintendoAmerica,non tweet
1519,Kathy8s,StephenKing,non tweet
1542,juwelly,BTS_twt,non tweet
1580,bangtansnabi,BTS_twt,non tweet
1693,Sakura_borahae,BTS_twt,non tweet
1696,asha_aseel,BTS_twt,non tweet
1719,hollywoodcurry,WhiteHouse,non tweet
1734,xDD0X_BRETTx,WWE,non tweet
1736,pemdave,cnn,non tweet
1751,CaliLiliIndies,nytimes,non tweet
1753,AttorneyGriggs,Tip,non tweet
1754,AttorneyGriggs,ludacris,non tweet
1770,gracwastaken,NBCNews,non tweet
1785,MicaelaModernel,BTS_twt,non tweet
1799,btsarmy_europe,BTS_twt,non tweet
1841,Change4uhdolla,YouTube,non tweet
1913,SLBTFD,netflix,non tweet
2015,_ks_l,showdavida,non tweet
2085,ThreeKobolds,Disney,non tweet
2100,MoonRespectMei,BTS_twt,non tweet
2142,KendrickLamarZZ,kendricklamar,non tweet
2176,cagaynor,JoeBiden,non tweet
2177,cagaynor,Berniesanders,non tweet
2180,Dlutzzz,BarackObama,non tweet
2199,SyrindaP,BTS_twt,non tweet
2239,JotBeats,kendricklamar,non tweet
2241,JotBeats,YouTube,non tweet
2246,archied009,JKCorden,non tweet
2254,magaar15,POTUS,non tweet
2275,LDSAgency,Pontifex,non tweet
2303,imaproudliberal,DonaldJTrumpJr,non tweet
2305,imaproudliberal,JoeBiden,non tweet
2306,ObamaClintonDem,BernieSanders,non tweet
2327,Malone1932,CNN,non tweet
2403,MookWilliams,wwe,non tweet
2414,halcyonskye,BTS_twt,non tweet
2418,iFernandaBravo,BTS_twt,non tweet
2432,kthscenic,BTS_twt,non tweet
2453,1912Fenway,Starbucks,non tweet
2530,char10tti3,GaryLineker,non tweet
2590,AustinWMatheny,jk_rowling,non tweet
2610,kekecosmos,BTS_twt,non tweet
2614,StefanieBe_,BTS_twt,non tweet
2622,ladyinred5,BBCWorld,non tweet
2624,ladyinred5,WHO,non tweet
2625,ladyinred5,UN,non tweet
2629,ladyinred5,SpeakerPelosi,non tweet
2655,_BABACAR,BTS_twt,non tweet
2656,anngelajeon,BTS_twt,non tweet
2873,ANBU_SonGoku,Eminem,non tweet
2902,AprilD_CLT,BTS_twt,non tweet
2961,Sony0_2,BTS_twt,non tweet
2974,Wiseronenow,cnn,non tweet
3074,EdFromVA,YouTube,non tweet
3138,Iovesnam,BTS_twt,non tweet
3185,PRMSJIMIN,BTS_twt,non tweet
3190,SouthernPippa,KamalaHarris,non tweet
3216,KMK69800124,Twitter,non tweet
3218,KMK69800124,TwitterSupport,non tweet
3225,BlackTreeCo,nickjonas,non tweet
3251,OutsiderX15,WWE,non tweet
3269,Soucstar,BTS_twt,non tweet
3307,DerrickMaine1,JoeBiden,non tweet
3335,Malone1932,nytimes,non tweet
3345,MediaActive,nytimes,non tweet
3461,urrie_,BTS_twt,non tweet
3497,cturtlestanBTS,BTS_twt,non tweet
3525,linandantravel,YouTube,non tweet
3554,marleyengvall,FoxNews,non tweet
3564,_ks_l,jairbolsonaro,non tweet
3599,hopefulmyg,BTS_twt,non tweet
3601,lvnyjmnz,YouTube,non tweet
