,source,target,content
2,QuidProQuo_MWI,YouTube,non tweet
3,QuidProQuo_MWI,YouTube,non tweet
5,QuidProQuo_MWI,YouTube,non tweet
10,vekleft,BernieSanders,non tweet
13,Screw_a_Name,nickiminaj,non tweet
26,revvrw,nytimes,non tweet
54,Huckabuck,VP,non tweet
69,AngryPhoenix22,VP,non tweet
85,MNGG33G7LP,aoc,non tweet
156,marsupialme,KamalaHarris,non tweet
166,MissDeniCameron,POTUS,non tweet
169,MikeCastelli92,kanyewest,non tweet
187,JustPrintMoney,WSJ,non tweet
194,TheHStirling,YouTube,non tweet
254,LucMatte9,AOC,non tweet
276,Satisfies69,cbsnews,non tweet
315,The__Sicilian,POTUS,non tweet
344,DickMackintosh,YouTube,non tweet
360,kryptonic83,YouTube,non tweet
394,AmyHitchcockSky,SkyNews,non tweet
411,thepfa,premierleague,non tweet
436,SativaDivineUO,YouTube,non tweet
438,FairlyScunnered,LewisHamilton,non tweet
441,theblackssheep,JoeBiden,non tweet
463,woroworld,CNN,non tweet
464,woroworld,maddow,non tweet
477,STB_ResonanceFM,trevornoah,non tweet
513,DavidFDodge1,CNN,non tweet
553,theblackssheep,BBCNews,non tweet
556,thequ4nt,SpeakerPelosi,non tweet
574,thequ4nt,SpeakerPelosi,non tweet
621,thequ4nt,SpeakerPelosi,non tweet
670,thequ4nt,SpeakerPelosi,non tweet
674,DavidFDodge1,CNN,non tweet
680,thequ4nt,SpeakerPelosi,non tweet
691,liang_polly,YouTube,non tweet
713,thequ4nt,SpeakerPelosi,non tweet
725,lisakayemundy,CNN,non tweet
753,theblackssheep,BBCNews,non tweet
754,theblackssheep,MichelleObama,non tweet
758,thequ4nt,SpeakerPelosi,non tweet
765,thequ4nt,SpeakerPelosi,non tweet
779,thequ4nt,SpeakerPelosi,non tweet
786,thequ4nt,SpeakerPelosi,non tweet
797,SheerazRaza,nytimes,non tweet
821,thequ4nt,SpeakerPelosi,non tweet
832,TangleBritches,DonaldJTrumpJr,non tweet
845,DickMackintosh,YouTube,non tweet
903,dravensghost,POTUS,non tweet
915,jessaella58,Oprah,non tweet
916,jessaella58,CNN,non tweet
964,jeanaweeze,KimKardashian,non tweet
996,elayne224,KingJames,non tweet
1000,revvrw,nytimes,non tweet
1013,jamesarelonhard,JoeBiden,non tweet
1014,jamesarelonhard,KamalaHarris,non tweet
1020,MJResister,KamalaHarris,non tweet
1021,MJResister,KamalaHarris,non tweet
1030,patriach2051,DonaldJTrumpJr,non tweet
1070,sweetmylo,LewisHamilton,non tweet
1072,kylemcclain,YouTube,non tweet
1101,Miggie7,DonaldJTrumpJr,non tweet
1106,Ranjith_k81,IvankaTrump,non tweet
1107,Ranjith_k81,BarackObama,non tweet
1108,Ranjith_k81,UN,non tweet
1154,Miggie7,DonaldJTrumpJr,non tweet
1205,LoveDaisyPetals,AOC,non tweet
1239,TommyPizzavonni,Xbox,non tweet
1267,DavidFDodge1,CNN,non tweet
1275,SILASSOWUSU,billboard,non tweet
1276,ResoluteRenee,TIME,non tweet
1289,I_Am_Dr_Je,Beyonce,non tweet
1304,RiseHarris1,YouTube,non tweet
1314,just_jayne8,SenSanders,non tweet
1315,just_jayne8,BernieSanders,non tweet
1323,DavidFDodge1,CNN,non tweet
1354,DickMackintosh,YouTube,non tweet
1374,Satisfies69,cbsnews,non tweet
1398,MikeCastelli92,KingJames,non tweet
