,source,target,content
36,LakeshowChris,YouTube,non tweet
40,Joseph2482F,HuffPost,non tweet
45,Info4U2Know,BarackObama,non tweet
65,Tom886,AOC,non tweet
69,Tom886,SenSanders,non tweet
70,Tom886,SpeakerPelosi,non tweet
74,Tom886,MMFlint,non tweet
84,healthybuttrfly,BernieSanders,non tweet
90,healthybuttrfly,JoeBiden,non tweet
91,healthybuttrfly,BernieSanders,non tweet
92,healthybuttrfly,JoeBiden,non tweet
96,1Chance2020,JoeBiden,non tweet
107,Smokey3477,barackobama,non tweet
113,nycpaf,JoeBiden,non tweet
115,nycpaf,ewarren,non tweet
130,DharriOne,YouTube,non tweet
136,WeThePeopleSOS,POTUS,non tweet
137,WeThePeopleSOS,JoeBiden,non tweet
140,SawnyaA,JoeBiden,non tweet
142,BUCCREWCANVAS,Drake,non tweet
149,JasonBr13545591,BernieSanders,non tweet
153,ChaunoSr,JoeBiden,non tweet
154,ChaunoSr,SenSanders,non tweet
163,LeBaronLordKing,nbcnews,non tweet
169,RepublicMighty,FoxNews,non tweet
170,RepublicMighty,JoeBiden,non tweet
173,thewoman62,POTUS,non tweet
183,WitchWayForest,JoeBiden,non tweet
184,WitchWayForest,hillaryclinton,non tweet
210,BoHunter41,JoeBiden,non tweet
211,BoHunter41,JoeBiden,non tweet
213,BoHunter41,JoeBiden,non tweet
216,BoHunter41,JoeBiden,non tweet
235,ACrippling_girl,NICKIMINAJ,non tweet
241,ChiTownSidBrown,JoeBiden,non tweet
242,ChiTownSidBrown,JoeBiden,non tweet
249,Blax4T,YouTube,non tweet
251,YoloSpinks,Nike,non tweet
263,1Chance2020,JoeBiden,non tweet
268,wendell_kelsey,JoeBiden,non tweet
274,VigilantCanada,JoeBiden,non tweet
277,VigilantCanada,CNN,non tweet
280,VigilantCanada,WSJ,non tweet
281,VigilantCanada,ABC,non tweet
287,TheMetDet,POTUS,non tweet
288,TheMetDet,CNN,non tweet
289,TheMetDet,FoxNews,non tweet
310,Lasher0408,JoeBiden,non tweet
320,rethomasjr,JoeBiden,non tweet
325,jperry229,JoeBiden,non tweet
331,MissionaryBLMM,HuffPost,non tweet
351,GodlessWard,JoeBiden,non tweet
354,Sunny64498448,JoeBiden,non tweet
373,IamaCamera2,BernieSanders,non tweet
378,msylvers,billmaher,non tweet
399,Thebarbzisback,twitter,non tweet
401,Thebarbzisback,instagram,non tweet
410,Thebarbzisback,twitter,non tweet
412,Thebarbzisback,instagram,non tweet
423,DJFreshGress,BarackObama,non tweet
440,LegionJerry,YouTube,non tweet
442,Thebarbzisback,twitter,non tweet
444,Thebarbzisback,instagram,non tweet
465,1776usafreedom,JoeBiden,non tweet
471,PTNickB,JoeBiden,non tweet
472,PTNickB,Diddy,non tweet
474,PTNickB,common,non tweet
475,PTNickB,diddy,non tweet
479,Voter99percent,HillaryClinton,non tweet
480,Voter99percent,SenSanders,non tweet
482,postevoice,washingtonpost,non tweet
511,healthybuttrfly,NBCNews,non tweet
512,healthybuttrfly,JoeBiden,non tweet
519,arebecomenew,JoeBiden,non tweet
521,SC_Conservatism,JoeBiden,non tweet
526,Asesina_17,JoeBiden,non tweet
533,VampyKiss,johnlegend,non tweet
534,VampyKiss,BarackObama,non tweet
538,nycpaf,JoeBiden,non tweet
540,nycpaf,ewarren,non tweet
544,destinylexi3,chancetherapper,non tweet
545,Aspies123,JoeBiden,non tweet
548,Aspies123,JoeBiden,non tweet
552,legendarrius__,UN,non tweet
554,Aspies123,JoeBiden,non tweet
562,Alpha_Talk_,BBCWorld,non tweet
588,wuperkins,Diddy,non tweet
597,econlawjay,JoeBiden,non tweet
613,SheepReiver,JoeBiden,non tweet
679,antgilbax,JoeBiden,non tweet
680,antgilbax,POTUS44,non tweet
684,chazarac,JoeBiden,non tweet
714,cmysolution,CNN,non tweet
716,cmysolution,BBCWorld,non tweet
717,cmysolution,SkyNews,non tweet
718,cmysolution,AP,non tweet
725,cmysolution,CNN,non tweet
727,cmysolution,BBCWorld,non tweet
728,cmysolution,SkyNews,non tweet
729,cmysolution,AP,non tweet
750,RkfromNy,DonaldJTrumpJr,non tweet
755,healthypeople4U,JoeBiden,non tweet
763,silverskyjanet,JoeBiden,non tweet
772,browne_daum,JoeBiden,non tweet
782,Ginutsa1,Diddy,non tweet
