,source,target,content
28,TheAnchovyLover,johnlegend,non tweet
29,TheAnchovyLover,NBCTheVoice,non tweet
33,ResoluteRenee,ABC,non tweet
34,velvethammer,DonaldJTrumpJr,non tweet
38,Fooch1993,BBCNews,non tweet
46,MogTx,McDonalds,non tweet
50,Thankful4Usa,BarackObama,non tweet
93,DelporableC,amazon,non tweet
94,DelporableC,JeffBezos,non tweet
99,letruthreign,DonaldJTrumpJr,non tweet
128,sauerjc,thehill,non tweet
135,SunsetsAndNeon,amazon,non tweet
169,KarenBE9,jtimberlake,non tweet
273,xencats,YourAnonCentral,non tweet
298,IVictoreri,YouTube,non tweet
307,BlackPressRadio,TMZ,non tweet
311,BlackPressRadio,icecube,non tweet
327,sauerjc,NFL,non tweet
371,mikebradley0426,CNN,non tweet
372,mikebradley0426,MSNBC,non tweet
376,nom_anonymous,TuckerCarlson,non tweet
421,ghost2blue,JoeBiden,non tweet
441,steffrock2020,netflix,non tweet
458,mikebradley0426,CNN,non tweet
459,mikebradley0426,MSNBC,non tweet
464,StLNetworkGuru2,amazon,non tweet
512,Tabitha59803043,ABC,non tweet
578,JodiPowell57,ABC,non tweet
583,Galixxie_,Nickelodeon,non tweet
601,Valnofux,Amazon,non tweet
660,kohnjoshua,icecube,non tweet
666,ToddJobson,kanyewest,non tweet
695,GoBuckeyesOH,amazon,non tweet
701,Dog23Big,KingJames,non tweet
719,frgroenendijk,CNN,non tweet
720,PDriverKC,CNNPolitics,non tweet
722,PDriverKC,POTUS,non tweet
730,cuba40,SpeakerPelosi,non tweet
733,cuba40,JoeBiden,non tweet
742,SherryL57502801,mcuban,non tweet
760,Trace88529604,FoxNews,non tweet
863,Shoobydoowoo,JoeBiden,non tweet
926,luzdjc3634,BTS_twt,non tweet
948,urmominator_69,DonaldJTrumpJr,non tweet
971,Alex67851282,RealHughJackman,non tweet
992,camboyan,CNN,non tweet
1001,fglfan4ever27,amazon,non tweet
1005,MMaNavarro,POTUS,non tweet
