,source,target,content
9,StandardBrr,ewarren,non tweet
10,StandardBrr,BernieSanders,non tweet
25,The__Sicilian,POTUS,non tweet
34,God_Bless_USA0,WhiteHouse,non tweet
72,Brent_Liebel,Starbucks,non tweet
128,marlow_watching,seanhannity,non tweet
170,AlMace8,KingJames,non tweet
208,1angryhillbilly,AOC,non tweet
254,GHA94867510,TheTweetOfGod,non tweet
329,ZEGU506,AOC,non tweet
352,Vipervenom1991,POTUS,non tweet
391,amy25676316,KamalaHarris,non tweet
408,ASimpleManView,CNNPolitics,non tweet
416,jiaplayer,tonyhawk,non tweet
431,rolandkennedy80,ESPNNBA,non tweet
437,59Goldstein,POTUS,non tweet
438,59Goldstein,WhiteHouse,non tweet
486,OnemaxiMillion,WORLDSTAR,non tweet
538,FaxBluenose,ChelseaFC,non tweet
543,FairDela,AOC,non tweet
556,sicilianfigs,YouTube,non tweet
558,Unplugged_Neo,DonaldJTrumpJr,non tweet
573,jiaplayer,tonyhawk,non tweet
595,OnemaxiMillion,tedcruz,non tweet
596,SCORPION_1776,FoxNews,non tweet
601,RussellSperry,YouTube,non tweet
605,NowThinkAgain,AOC,non tweet
608,NowThinkAgain,Pink,non tweet
609,NowThinkAgain,Pink,non tweet
611,NowThinkAgain,AOC,non tweet
612,ConfusedCitize4,TheDailyShow,non tweet
614,NowThinkAgain,AOC,non tweet
623,NowThinkAgain,AOC,non tweet
638,NowThinkAgain,AOC,non tweet
639,NowThinkAgain,AOC,non tweet
642,NowThinkAgain,AOC,non tweet
644,NowThinkAgain,AOC,non tweet
645,NowThinkAgain,AOC,non tweet
658,winter_bosak,TIME,non tweet
661,NowThinkAgain,AOC,non tweet
683,NowThinkAgain,AOC,non tweet
685,jerryldavis2010,CNN,non tweet
686,jerryldavis2010,CNNPolitics,non tweet
687,jerryldavis2010,MSNBC,non tweet
745,sboulette,MSNBC,non tweet
748,LoriAll13493796,AOC,non tweet
762,NuggleBunny30,FloydMayweather,non tweet
804,rkannegi,JustinTrudeau,non tweet
832,iamredavide,premierleague,non tweet
842,Apopo_Mentos,EmmanuelMacron,non tweet
988,DivaPolitical,AOC,non tweet
1142,AjkLato,AOC,non tweet
1172,KarmaKazi10,DonaldJTrumpJr,non tweet
1175,SRTHellcat2020,JoeBiden,non tweet
1181,pamelasm,Forbes,non tweet
1213,Ozhot,POTUS,non tweet
1218,ChessAnnouncer,Forbes,non tweet
1226,Ozhot,POTUS,non tweet
1242,Ozhot,POTUS,non tweet
1298,PauloforTruth,MSNBC,non tweet
1309,Jadelove50,Starbucks,non tweet
1333,Skyhawk442,AOC,non tweet
1354,Misty__Bella,CNN,non tweet
1355,Misty__Bella,CNNPolitics,non tweet
1356,Misty__Bella,cnni,non tweet
1357,Misty__Bella,MSNBC,non tweet
1358,Misty__Bella,maddow,non tweet
1359,Misty__Bella,NBCNews,non tweet
1360,Misty__Bella,ABC,non tweet
1361,Misty__Bella,CBSNews,non tweet
1362,Misty__Bella,nytimes,non tweet
1363,Misty__Bella,washingtonpost,non tweet
1365,Misty__Bella,politico,non tweet
1366,Misty__Bella,HuffPost,non tweet
1370,Misty__Bella,NewYorker,non tweet
1374,TheSauceIsHot_,YouTube,non tweet
1411,BHM_Pirate,CNNPolitics,non tweet
1414,GlobalWatchmen,YouTube,non tweet
1430,Twitchy80887477,YouTube,non tweet
1480,Bru35newBruce,maddow,non tweet
1496,milkissweet,POTUS,non tweet
1497,milkissweet,WhiteHouse,non tweet
1500,Border45Patrol,JoeBiden,non tweet
1502,OnemaxiMillion,YouTube,non tweet
1530,mjpk25,CNN,non tweet
1531,mjpk25,MSNBC,non tweet
1536,REALMamaSavage,POTUS,non tweet
1546,Tom32870,KingJames,non tweet
1557,yubavalhalla,ChelseaFC,non tweet
1558,yubavalhalla,ChelseaFC,non tweet
1564,AstorPlaceArt,JoeBiden,non tweet
1566,AstorPlaceArt,Reuters,non tweet
1573,atlaswon,POTUS,non tweet
1597,Sn03728793,FoxNews,non tweet
1669,Devin78834767,MSNBC,non tweet
1675,Rayp1971,CNN,non tweet
1678,Mebenz0612,POTUS,non tweet
1742,obama_gate,DonaldJTrumpJr,non tweet
1744,obama_gate,TuckerCarlson,non tweet
1764,DEC0L0NIZE,instagram,non tweet
1768,AllRepublicans,SpeakerPelosi,non tweet
1787,jerilynn713,JoeBiden,non tweet
1804,Border45Patrol,DonaldJTrumpJr,non tweet
1898,Border45Patrol,DonaldJTrumpJr,non tweet
1900,Border45Patrol,FoxNews,non tweet
1901,Border45Patrol,CNN,non tweet
1902,Border45Patrol,cnnbrk,non tweet
1915,Phantom_M61A1,seanhannity,non tweet
1924,OnemaxiMillion,icecube,non tweet
1959,BillyKi88394399,SkyNews,non tweet
1964,BillyKi88394399,SkyNews,non tweet
1971,B0SSB0Y,TheDailyShow,non tweet
1998,Rayp1971,CNN,non tweet
2002,DivaPolitical,Mike_Pence,non tweet
2029,ElmuchoG,McDonalds,non tweet
2065,RichNChrist57,WhiteHouse,non tweet
