,source,target,content
34,kevinmj76,GOP,non tweet
35,kevinmj76,GOP,non tweet
52,2whltrvlr,POTUS,non tweet
53,2whltrvlr,FLOTUS,non tweet
82,jason2point0_0,dojacat,non tweet
92,Mimibear9294,dbongino,non tweet
234,2whltrvlr,POTUS,non tweet
235,2whltrvlr,FLOTUS,non tweet
237,TrumpPasta,dbongino,non tweet
260,Albin1887,FoxNews,non tweet
370,angelsbosch,guardiacivil,non tweet
387,2whltrvlr,POTUS,non tweet
388,2whltrvlr,FLOTUS,non tweet
445,generictaghere,JustinTrudeau,non tweet
487,DrKok2Puss,nypost,non tweet
501,Triggered_2020,nytimes,non tweet
502,Triggered_2020,Tesla,non tweet
555,2whltrvlr,POTUS,non tweet
556,2whltrvlr,FLOTUS,non tweet
587,MyReasons23,YouTube,non tweet
625,TommyLB12,dbongino,non tweet
636,Amylia80,GOP,non tweet
662,BrainyPoet,nypost,non tweet
663,BrainyPoet,nypost,non tweet
722,AJMorocco,TODAYshow,non tweet
733,919_nerd,NYGovCuomo,non tweet
766,2whltrvlr,POTUS,non tweet
767,2whltrvlr,FLOTUS,non tweet
824,madkat2001,DineshDSouza,non tweet
858,Daphne_488,BernieSanders,non tweet
860,Daphne_488,businessinsider,non tweet
862,Daphne_488,NBCNews,non tweet
867,Thesanelib,FoxNews,non tweet
868,Thesanelib,FoxNews,non tweet
895,SebastianOttawa,seanhannity,non tweet
896,comgeek25,businessinsider,non tweet
900,wobiobi,nowthisnews,non tweet
933,count_210,YouTube,non tweet
947,1reddragon696,YouTube,non tweet
960,MyReasons23,YouTube,non tweet
966,WieblesWobbles,YouTube,non tweet
967,Gummbyman32,YouTube,non tweet
969,Jason_Chi7,YouTube,non tweet
970,Runkenstein,YouTube,non tweet
971,MyReasons23,YouTube,non tweet
976,Gail92811724,YouTube,non tweet
978,MyReasons23,YouTube,non tweet
1004,MyReasons23,YouTube,non tweet
1033,MyReasons23,YouTube,non tweet
1062,Annabanana305,nowthisnews,non tweet
1079,gntlman,nypost,non tweet
1144,Jeje_Baby,nowthisnews,non tweet
1153,tryinED,nowthisnews,non tweet
1155,Black41Reverse,NBCNews,non tweet
1158,CJ39734277,CNNPolitics,non tweet
1159,pimperella,nowthisnews,non tweet
1178,Cleverchuckpun,nowthisnews,non tweet
1215,chamberhands,ABC,non tweet
1227,headbandcuties,nowthisnews,non tweet
1244,jermahonjayhawk,tedcruz,non tweet
1245,jermahonjayhawk,IngrahamAngle,non tweet
1259,Jeje_Baby,cnni,non tweet
1260,phish100blog,nowthisnews,non tweet
1261,symonelyfy,nowthisnews,non tweet
1264,camgreer11,ava,non tweet
1269,King__Larenz,iamjamiefoxx,non tweet
1293,Marcella555,nowthisnews,non tweet
1308,chiaks4,FLOTUS,non tweet
1309,chiaks4,WhiteHouse,non tweet
1349,2whltrvlr,POTUS,non tweet
1350,2whltrvlr,FLOTUS,non tweet
1415,skinnyfroglegs,nowthisnews,non tweet
1421,Zippyreturns,nowthisnews,non tweet
1423,i83701,Franklin_Graham,non tweet
1424,JerryFalwellJrP,Franklin_Graham,non tweet
1425,whatntarnation_,nowthisnews,non tweet
1430,jgcarey80,nowthisnews,non tweet
1431,imagesbyterrian,nowthisnews,non tweet
1465,SMARTFOXNEWS1,MarvelStudios,non tweet
1477,BlueLivesNYC,Giants,non tweet
1480,BlueLivesNYC,TomiLahren,non tweet
1484,BlueLivesNYC,VP,non tweet
1485,BlueLivesNYC,dbongino,non tweet
1490,righterwinger,NYGovCuomo,non tweet
1500,Jeje_Baby,ABC,non tweet
1546,zohinton010,USArmy,non tweet
1554,zohinton010,POTUS,non tweet
1555,zohinton010,FLOTUS,non tweet
1557,zohinton010,VP,non tweet
1596,2whltrvlr,POTUS,non tweet
1597,2whltrvlr,FLOTUS,non tweet
1598,LaraM_NYC,WSJ,non tweet
1602,ThatGuyCrisby,thehill,non tweet
1606,ntjockey,YouTube,non tweet
1630,Smokey3477,NYGovCuomo,non tweet
1637,BlueLivesNYC,VP,non tweet
1650,dcascarrias,ABC,non tweet
1705,Asgard2010,dbongino,non tweet
1707,Asgard2010,TuckerCarlson,non tweet
1708,Asgard2010,IngrahamAngle,non tweet
1721,KittyLovesGod,dbongino,non tweet
1722,KittyLovesGod,seanhannity,non tweet
1723,KittyLovesGod,IngrahamAngle,non tweet
1736,DianeP81,NYGovCuomo,non tweet
1739,thetsmorgan,NPR,non tweet
1755,RealMichaelNVA,LindseyGrahamSC,non tweet
1772,BlueLivesNYC,VP,non tweet
1774,BlueLivesNYC,DonaldJTrumpJr,non tweet
1831,2whltrvlr,POTUS,non tweet
1832,2whltrvlr,FLOTUS,non tweet
1854,TurnBasedCarl,NPR,non tweet
1878,BlueLivesNYC,VP,non tweet
1879,BlueLivesNYC,TomiLahren,non tweet
1880,BlueLivesNYC,DonaldJTrumpJr,non tweet
1958,barb2entropy,POTUS,non tweet
1990,MissionaryBLMM,SpeakerPelosi,non tweet
2034,IL1keSquirr3ls,GMA,non tweet
2055,MaryAnn29393212,TheJusticeDept,non tweet
2064,2whltrvlr,POTUS,non tweet
2065,2whltrvlr,FLOTUS,non tweet
2071,myvision4Canada,washingtonpost,non tweet
2128,ronchofandango,GavinNewsom,non tweet
2174,__gnarly,maggieNYT,non tweet
2212,luncheonham,CGTNOfficial,non tweet
2278,2whltrvlr,POTUS,non tweet
2279,2whltrvlr,FLOTUS,non tweet
2295,DurdyGP,POTUS,non tweet
2300,DurdyGP,Jim_Jordan,non tweet
2378,RespectTheUS,MailOnline,non tweet
2438,joshkooler,politico,non tweet
2442,shanta79,TheJusticeDept,non tweet
2464,BillyKi88394399,SkyNews,non tweet
2486,FBurew,nytimes,non tweet
2487,FBurew,NYMag,non tweet
2489,FBurew,nypost,non tweet
2524,TheGoldManGuns,KingJames,non tweet
2593,appl3s,SenTedCruz,non tweet
2595,305ALLtheWAY,Kaepernick7,non tweet
2599,noonan66,Kaepernick7,non tweet
2612,SassyVeteran,Jim_Jordan,non tweet
2613,SassyVeteran,GOP,non tweet
2623,CkDexter15,SenTedCruz,non tweet
2638,Ukraine_parody,RealCandaceO,non tweet
2643,JohnDoeOU812,nbcsnl,non tweet
2645,ImperatriceV,dbongino,non tweet
2646,ImperatriceV,TomiLahren,non tweet
2661,ImperatriceV,FoxNews,non tweet
2664,Speriaisland16,Kaepernick7,non tweet
2665,DavidShaneLowry,nowthisnews,non tweet
2673,TheBreakerOfWal,GavinNewsom,non tweet
2679,maccoubrey,Kaepernick7,non tweet
2785,DTITranslation,GOP,non tweet
2809,Editorial_Write,YouTube,non tweet
2820,2whltrvlr,POTUS,non tweet
2821,2whltrvlr,FLOTUS,non tweet
2847,LadyKayRising,TuckerCarlson,non tweet
2848,LadyKayRising,TheJusticeDept,non tweet
2870,AutoVisionzEmbl,YouTube,non tweet
2920,huskerpower101,GOP,non tweet
2942,Wiezguy,FBI,non tweet
2983,angelsbosch,policia,non tweet
2994,YusefforPeace,AP,non tweet
3002,2whltrvlr,POTUS,non tweet
3003,2whltrvlr,FLOTUS,non tweet
